name,name_c,img,price,no_rates,rating_100,released,system_name,processor,windows,storage,display,Wifi,bluetooth,camera,slim,hdmi,usb,spec_score
Acer Nitro 5 AN515-51 (NH.Q2SSI.006...,Acer Nitro 5 AN515-51 (NH.Q2SSI.006) Laptop (Core i7 7th Gen/8 GB/1 TB 128 GB SSD/Windows 10/2 GB) price in India,//www.91-img.com/pictures/laptops/acer/-124300-small-1.jpg?tr=q-80,64999,414,90,,- Windows 10,Intel Core i5 (7th Gen) 2.5 Ghz,Windows 10,"8 GB DDR4 RAM, 1 TB HDD","15.6"" (39.62 cm), 1920 x 1080 px, LED Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,3 USB Ports,
Asus Vivobook X540YA-XO106T Laptop ...,Asus Vivobook X540YA-XO106T Laptop (AMD Quad Core A8/4 GB/1 TB/Windows 10) price in India,//www.91-img.com/pictures/laptops/asus/asus-x540ya-xo106t-amd-quad-core-a8-4-gb-1-tb-windows-10-122360-small-1.jpg?tr=q-80,24999,1466,80,,- Windows 10,AMD Quad-Core A8 APU (7410) 2.2 Ghz,Windows 10,"4 GB DDR3 RAM, 1 TB HDD","15.6"" (39.62 cm), 1920 x 1080 px, LED Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,2 USB Ports,
Asus ROG Strix Scar 16 G635LW-RW157...,Asus ROG Strix Scar 16 G635LW-RW157WS Laptop (Core Ultra 9 Series 2 /32 GB/2 TB SSD/Windows 11/16 GB) price in India,//www.91-img.com/pictures/laptops/asus/asus-g635lw-rw157ws-168981-v1-small-1.jpg?tr=q-80,379990,2,90,May 2025,- Windows 11,Intel Core Ultra 9 (Series 2) 5.4 Ghz,Windows 11,"32 GB DDR5 RAM, 2 TB SSD","16"" (40.64 cm), 2560 x 1600 px, Mini LED Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,
Lenovo IdeaPad Slim 3 15IRU8 (82X70...,Lenovo IdeaPad Slim 3 15IRU8 (82X700F0IN) Laptop (Core i3 13th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/lenovo/lenovo-15iru8-82x700f0in-168434-v1-small-1.jpg?tr=q-80,36990,4,60,Mar 2025,- Windows 11,"Intel Core i3 (13th Gen) 4.5 Ghz, Hexa-Core",Windows 11,"8 GB LPDDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, TN LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,78
Asus Chromebook CX1400CKA-NK0488 La...,Asus Chromebook CX1400CKA-NK0488 Laptop (Intel Celeron Dual Core/4 GB/128 GB eMMC/Google Chrome) price in India,//www.91-img.com/pictures/laptops/asus/asus-cx1400cka-nk0488-168132-v1-small-1.jpg?tr=q-80,17990,13,84,Mar 2025,- Google Chrome,"Intel Celeron Dual-Core 2.8 Ghz, Dual-Core",Google Chrome,4 GB LPDDR4X RAM,"14"" (35.56 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 18.7 mm,,,
Asus Zenbook A14 OLED UX3407QA-QD25...,Asus Zenbook A14 OLED UX3407QA-QD259WS Laptop (Qualcomm Snapdragon Octa Core/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-ux3407qa-qd259ws-167671-v1-small-1.jpg?tr=q-80,92990,6,60,Feb 2025,- Windows 11,"Qualcomm Snapdragon Octa-Core 2.9 Ghz, Octa-Core",Windows 11,"16 GB LPDDR5X RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1200 px, OLED Display",Wi-fi,Bluetooth,Web Camera,Slim 15.9 mm,HDMI Port,,83
Asus Gaming V16 V3607VU-RP275WS Lap...,Asus Gaming V16 V3607VU-RP275WS Laptop (Core 7 Series 2 /16 GB/512 GB SSD/Windows 11/6 GB) price in India,//www.91-img.com/pictures/laptops/asus/asus-v3607vu-rp275ws-167516-v1-small-1.jpg?tr=q-80,94990,4,40,Feb 2025,- Windows 11,"Intel Core 7 (Series 2) 5.2 Ghz, Deca-Core",Windows 11,"16 GB DDR5 RAM, 512 GB SSD","16"" (40.64 cm), 1920 x 1200 px Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,
Asus Vivobook 14 Flip OLED TP3407SA...,Asus Vivobook 14 Flip OLED TP3407SA-QL024WS Laptop (Core Ultra 5/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-tp3407sa-ql024ws-167513-v1-small-1.jpg?tr=q-80,91990,6,76,Feb 2025,- Windows 11,"Intel Core Ultra 5 (Series 2) 4.5 Ghz, Octa-Core",Windows 11,"16 GB LPDDR5X RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1200 px, OLED Display",Wi-fi,Bluetooth,Web Camera,Slim 17.1 mm,HDMI Port,,
Asus ROG Zephyrus G16 GU605MV-CO471...,Asus ROG Zephyrus G16 GU605MV-CO4711WS Laptop (Core Ultra 7/16 GB/1 TB SSD/Windows 11/8 GB) price in India,//www.91-img.com/pictures/laptops/asus/asus-gu605mv-co4711ws-168927-v1-small-1.jpg?tr=q-80,174990,2,60,Jan 2025,- Windows 11,Intel Core Ultra 7 4.8 Ghz,Windows 11,"16 GB LPDDR5X RAM, 1 TB SSD","16"" (40.64 cm), 2560 x 1600 px, OLED Display",Wi-fi,Bluetooth,Web Camera,Slim 16.4 mm,HDMI Port,,86
Dell Latitude 14 3420 (P144G201) La...,Dell Latitude 14 3420 (P144G201) Laptop (Core i3 11th Gen/8 GB/512 GB SSD/DOS) price in India,//www.91-img.com/pictures/laptops/dell/dell-3420-p144g201-166631-v1-small-1.jpg?tr=q-80,29924,38,88,Dec 2024,- DOS,"Intel Core i3 (11th Gen) 4.1 Ghz, Dual-Core",DOS,"8 GB DDR4 RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,
Lenovo Yoga 7 14AHP9 (83DK009LIN) L...,Lenovo Yoga 7 14AHP9 (83DK009LIN) Laptop (AMD Octa Core Ryzen 7/16 GB/1 TB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/lenovo/lenovo-14ahp9-83dk009lin-167271-v1-small-1.jpg?tr=q-80,92190,6,84,Nov 2024,- Windows 11,AMD Octa-Core Ryzen 7 (8840HS) 5.1 Ghz,Windows 11,"16 GB LPDDR5X RAM, 1 TB SSD","14"" (35.56 cm), 1920 x 1200 px, OLED Display",Wi-fi,Bluetooth,Web Camera,Slim 16.6 mm,HDMI Port,,87
HP Omen 16-wf1150TX (B1UV6PA) Lapto...,HP Omen 16-wf1150TX (B1UV6PA) Laptop (Core i7 14th Gen/16 GB/1 TB SSD/Windows 11/8 GB) price in India,//www.91-img.com/pictures/laptops/hp/hp-16-wf1150tx-b1uv6pa-165787-v1-small-1.jpg?tr=q-80,118000,4,60,Nov 2024,- Windows 11,Intel Core i7 (14th Gen) 5.2 Ghz,Windows 11,"16 GB DDR5 RAM, 1 TB SSD","16.1"" (40.89 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,
Apple MacBook Pro M4 MX2F3HN/A Ultr...,Apple MacBook Pro M4 MX2F3HN/A Ultrabook (Apple M4 Pro/24 GB/1 TB SSD/macOS Sequoia) price in India,//www.91-img.com/pictures/laptops/apple/apple-m4-mx2f3hn-a-165700-v1-small-1.jpg?tr=q-80,229990,1,100,Nov 2024,- macOS Sequoia,Apple M4 Pro 4.5 Ghz,macOS Sequoia,"24 GB Unified Memory RAM, 1 TB SSD","14.2"" (36.07 cm), 3024 x 1964 px, Liquid Retina XDR Display",Wi-fi,Bluetooth,Web Camera,Slim 15.5 mm,HDMI Port,,
MSI Modern 15 B7M-428IN Laptop (AMD...,MSI Modern 15 B7M-428IN Laptop (AMD Hexa Core Ryzen 5/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/msi/msi-b7m-428in-168285-v1-small-1.jpg?tr=q-80,38990,3,100,Oct 2024,- Windows 11,AMD Hexa-Core Ryzen 5 (7530U) 4.5 Ghz,Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,74
