name,price,ram_gb,ssd_gb,screen_size_inch,processor_brand
Samsung Galaxy Book 3 360 NP750QFG-...,102298,16,0,15.6,Intel
Samsung Galaxy Book 3 360 NP750QFG-...,122990,16,512,15.6,Intel
Samsung Galaxy Book 3 Pro NP960XFG-...,84999,16,512,16.0,Intel
Samsung Galaxy Book 3 360 NP730QFG-...,109990,16,512,13.3,Intel
Samsung Galaxy Book 3 360 NP750QFG-...,114990,16,512,15.6,Intel
Samsung Galaxy Book 3 360 NP730QFG-...,133990,16,0,13.3,Intel
Samsung Galaxy Book 3 Pro 360 NP960...,99999,16,512,16.0,Intel
Samsung Galaxy Book 3 Pro NP940XFG-...,82499,16,512,14.0,Intel
Samsung Galaxy Book 3 Pro NP960XFG-...,104999,16,0,16.0,Intel
Samsung Galaxy Book 3 Pro NP940XFG-...,79999,16,512,14.0,Intel
Asus VivoBook 14 X1402ZA-EK312WS La...,57990,8,512,14.0,Intel
HP 14s-dq5007TU (695R9PA) Laptop (C...,61990,8,512,14.0,Intel
Infinix Zero Book Ultra Laptop (Cor...,72999,16,512,15.6,Intel
HP 15s-du3595TU (67V46PA) Laptop (C...,32990,8,256,15.6,Intel
Acer Aspire 3 A315-24 (NX.KDESI.004...,32990,8,512,15.6,AMD
Asus VivoBook 15 X515EA-EJ701WS Lap...,65999,16,512,15.6,Intel
HP 245 G8 (689T3PA) Laptop (AMD Dua...,28900,8,512,14.0,AMD
Lenovo Thinkpad 14 G2 (20VDA0V1IH) ...,34990,8,512,14.0,Intel
Lenovo V14 Gen 2 (82KAA08BIH) Lapto...,31890,8,512,14.0,Intel
Lenovo V15 (82KDA011IH) Laptop (AMD...,37990,8,512,15.6,AMD
Lenovo V14 G2 ITL (82KAA04QIH) Lapt...,40980,8,512,14.0,Intel
Lenovo Thinkpad E14 Gen 4 (21E3S00L...,64999,8,512,14.0,Intel
Asus VivoBook 15 X1500EA-EJ3379WS L...,33390,8,512,15.6,Intel
Apple MacBook Pro M2 Pro MNW93HN/A ...,248490,16,0,16.2,Apple
HP 14s-dq2649TU (7G6H0PA) Laptop (C...,37999,8,512,14.0,Intel
Lenovo V15 (82KBA01TIH) Laptop (Cor...,42990,8,512,15.6,Intel
Apple MacBook Pro M2 Pro MPHJ3HN/A ...,231336,16,0,14.2,Apple
HP 15s-fq2717TU (7G6H3PA) Laptop (C...,37700,8,512,15.6,Intel
Apple MacBook Pro M2 Max MNWA3HN/A ...,322490,32,0,16.2,Apple
Apple MacBook Pro M2 Pro MPHH3HN/A ...,184008,16,512,14.2,Apple
HP Omen 16-n0091AX (7K4X2PA) Laptop...,122560,16,512,16.2,AMD
HP Victus 16-d0311TX (7K4X1PA) Lapt...,60990,16,512,16.1,Intel
MSI Modern 14 C12M-269IN Laptop (Co...,45990,8,512,14.0,Intel
HP Victus 15-fb0777AX (7K0C1PA) Lap...,54999,8,512,15.6,AMD
Lenovo Yoga 9i (83B1002GIN) Laptop ...,138590,16,0,14.0,Intel
Infinix INBook X2 Plus XL25 Laptop ...,59990,16,512,15.6,Intel
Dell Vostro 3425 (D552308WIN9B) Lap...,31593,8,256,14.0,AMD
HP 245 G8 (689T5PA) Laptop (AMD Hex...,31490,8,512,14.0,AMD
HP Envy x360 Intel Evo 13-bf0121TU ...,87100,16,512,13.4,Intel
HP Pavilion 14-ec1005AU (67U19PA) L...,52750,16,512,14.0,AMD
HP Envy x360 Intel Evo 15-ew0043TU ...,89999,16,512,15.6,Intel
HP Envy x360 Intel Evo 15-ew0040TU ...,83990,16,512,15.6,Intel
HP 15s-fr4000TU (7J3Z2PA) Laptop (C...,46900,8,512,15.6,Intel
HP Pavilion x360 14-ek1010TU (7N760...,73990,16,0,14.0,Intel
Asus VivoBook 15 X1500EA-EJ3381WS L...,33870,8,512,15.6,Intel
HP Envy x360 15-ew0021TX (7N6V9PA) ...,74999,16,512,15.6,Intel
Lenovo V15 (82KDA01UIH) Laptop (AMD...,33990,8,512,15.6,AMD
Acer Aspire 7 A715-5G (NH.QGBSI.002...,62999,8,512,15.6,Intel
Gigabyte G5 KE-52IN213SH (RC55KE) L...,80004,16,512,15.6,Intel
Gigabyte G5 GE-51IN213SH (RC55GE) L...,66068,8,512,15.6,Intel
HP Victus 15-fb0121AX (81H55PA) Lap...,61012,8,512,15.6,AMD
HP 15s-eq2213AU (7G6H2PA) Laptop (A...,34565,8,512,15.6,AMD
Lenovo Legion 5 Pro 16ARH7H (82RG00...,151688,16,0,16.0,AMD
Asus VivoBook Go 15 E1504FA-NJ541WS...,41990,16,512,15.6,AMD
Dell Inspiron 15 3520 (D560869WIN9B...,34200,8,256,15.6,Intel
Dell Inspiron 15 3520 (D560877WIN9S...,79990,8,0,15.6,Intel
Dell Inspiron 14 7420 (D560903WIN9S...,76519,8,512,14.0,Intel
Dell Vostro 3510 (BTS-ICC-D585051WI...,44990,8,0,15.6,Intel
MSI Modern 15 B12M-226IN Laptop (Co...,60109,16,512,15.6,Intel
MSI Modern 15 B12M-227IN Laptop (Co...,72990,16,512,15.6,Intel
Lenovo V15 (82KBA03HIH) Laptop (Cor...,40490,8,0,15.6,Intel
HP 240 G8 (4K5D5PA) Laptop (Core i3...,30490,8,512,14.0,Intel
Lenovo E41-55 (82FJ00BLIH) Laptop (...,29950,4,256,14.0,AMD
Lenovo E41-55 (82FJ00B5IH) Laptop (...,18990,4,0,14.0,AMD
Lenovo E41-55 (82FJ00B2IH) Laptop (...,18990,4,0,14.0,AMD
HP 245 G8 (62G68PA) Laptop (AMD Dua...,28490,8,0,14.0,AMD
HP Pavilion x360 14-ek0137TU (7C273...,60628,8,512,14.0,Intel
HP 15s-fq5007TU (67V50PA) Laptop (C...,35750,8,512,15.6,Intel
HP Envy x360 Intel Evo 13-bf0085TU ...,83990,8,512,13.3,Intel
Lenovo V15 ITL (82KBA03JIH) Laptop ...,29490,8,512,15.6,Intel
Microsoft Surface Pro 9 Intel Evo (...,87999,8,256,13.0,Intel
Microsoft Surface Pro 9 Intel Evo (...,87999,8,256,13.0,Intel
Lenovo Ideapad Slim 3 (82H802XVIN) ...,38999,8,256,15.6,Intel
HP 15s-eq2212AU (7G6H1PA) Laptop (A...,31499,8,512,15.6,AMD
Acer Aspire 5 A515-56 (NX.A1GSI.00D...,54990,8,512,15.6,Intel
HP Pavilion Plus 14-eh0037TU (77S54...,83990,16,512,14.0,Intel
Asus TUF Gaming F15 FX566HM-AZ096TS...,144990,16,0,15.6,Intel
Dell Vostro 3510 (ICC-D585031WIN8) ...,45500,8,0,15.6,Intel
Lenovo V14 (82C40182IN) Laptop (Cor...,27100,4,0,14.0,Intel
Lenovo Legion 5 Pro 16ACH6H (82JQ01...,120190,32,0,16.0,AMD
Lenovo V15 (82KDA012iH) Laptop (AMD...,37990,8,512,15.6,AMD
Asus VivoBook Pro 15 OLED M3500QC-L...,77990,16,0,15.6,AMD
Dell Inspiron 15 3525 (D560863WIN9B...,56999,8,512,15.6,AMD
Microsoft Surface Pro 9 (QCB-00014)...,80999,8,128,13.0,Intel
Dell Inspiron 15 3511 (D560593WIN9S...,42003,8,0,15.6,Intel
Microsoft Surface Pro 9 (QIL-00031)...,132990,16,256,13.0,Intel
Microsoft Surface Pro 9 Intel Evo (...,261990,32,0,13.0,Intel
Microsoft Surface Pro 9 (QIX-00031)...,192990,16,512,13.0,Intel
Microsoft Surface Pro 9 Intel Evo (...,87999,8,256,13.0,Intel
Microsoft Surface 5 Intel Evo (RIP-...,141999,16,512,15.0,Intel
Lenovo V15 Gen 2 (82KBA02UIH) Lapto...,30950,8,256,15.6,Intel
Microsoft Surface 5 Intel Evo (RBG-...,133000,16,512,13.5,Intel
Microsoft Surface 5 Intel Evo (QZI-...,80999,8,256,13.5,Intel
Lenovo Ideapad Gaming 3 15ACH6 (82K...,69990,8,512,15.6,AMD
Dell Inspiron 15 3511 (D560505WIN9S...,49990,8,0,15.6,Intel
Lenovo V15 (82KB00M0IH) Laptop (Cor...,31990,4,256,15.6,Intel
MSI GF65 Thin 10UE-410IN Laptop (Co...,80999,16,0,15.6,Intel
Lenovo Ideapad 5 Pro 14ITL6 (82L300...,104890,16,512,14.0,Intel
Dell Inspiron 15 3501 (D560437WIN9S...,56490,4,0,15.6,Intel
Dell Inspiron 15 3515 (D560523WIN9B...,38917,8,256,15.6,AMD
Dell Inspiron 14 5406 (D560384WIN9S...,56690,8,512,14.0,Intel
Asus VivoBook 15 X1502ZA-EJ515WS La...,47990,8,512,15.6,Intel
Lenovo ThinkBook 15 G2 (20VE00JUIN)...,140131,16,512,15.0,Intel
Asus Chromebook Flip C214MA-BU0452 ...,18307,4,64,11.6,Intel
HP Pavilion x360 14-dy0053TU (3X8X2...,51000,16,512,14.0,Intel
HP Pavilion 14-ec0035AU (4X7E1PA) L...,49990,8,512,14.0,AMD
Lenovo Ideapad 3 15IGL05 (81WQ00B6I...,25990,4,256,15.6,Intel
Lenovo Ideapad Flex 3 CB 11IJL6 (82...,41890,4,128,11.6,Intel
Dell Inspiron 15 3511 (D560611WIN9B...,55534,8,0,15.6,Intel
Dell Inspiron 15 3511 (D560581WIN9B...,36990,8,256,15.6,Intel
Dell Inspiron 14 5410 (D560596WIN9S...,89090,16,512,14.0,Intel
Asus TUF Gaming F15 FX506LI-HN279T ...,66329,16,512,15.6,Intel
Dell Inspiron 14 5410 (D560594WIN9S...,71590,8,512,14.0,Intel
Acer Aspire 3 A315-23 (NX.HVUSI.00K...,41990,8,512,15.6,AMD
Asus ROG Strix G15 G513IH-HN084TS L...,80500,8,512,15.6,AMD
Lenovo Ideapad Gaming 3i 15IHU6 (82...,72990,8,512,15.6,Intel
Asus ROG Zephyrus G14 GA401QM-K2330...,213990,16,0,14.0,AMD
Dell Inspiron 15 3511 (D560612WIN9B...,53657,8,0,15.6,Intel
MSI GP76 Leopard 11UG-609IN Laptop ...,179990,16,0,17.3,Intel
MSI GS66 Stealth 11UG-418IN Laptop ...,111999,16,0,15.6,Intel
Lenovo V15 (82C700H3IH) Laptop (AMD...,30990,4,0,15.6,AMD
Asus VivoBook Flip 14 TM420UA-EC701...,69990,8,512,14.0,AMD
Asus ZenBook 13 UX325EA-KG722TS Lap...,72990,16,512,13.3,Intel
MSI Pulse GL66 11UDK-627IN Laptop (...,108990,16,512,15.6,Intel
Lenovo Thinkpad T14 (20W0S0TC00) La...,105000,16,512,14.0,Intel
Asus Vivobook K15 OLED KM513UA-L713...,52990,16,512,15.6,AMD
Asus Vivobook K15 OLED KM513UA-L712...,66990,16,512,15.6,AMD
Gigabyte G5 ME-51IN213SH (RC55ME) L...,71040,16,512,15.6,Intel
Gigabyte AERO 5 XE4 (RP5MXE4) Lapto...,193990,16,0,15.6,Intel
Asus VivoBook 15 X1502ZA-EJ381WS La...,36990,8,512,15.6,Intel
Asus ROG Zephyrus G15 GA503RMZ-LN15...,149837,16,0,15.6,AMD
Asus ROG Zephyrus G15 GA503RMZ-HQ15...,110990,16,0,15.6,AMD
Asus ROG Zephyrus G15 GA503RSZ-HQ06...,189183,16,0,15.6,AMD
Asus ROG Zephyrus G15 GA503RMZ-HQ15...,110990,16,0,15.6,AMD
Asus Vivobook K15 OLED KM513UA-L513...,62990,16,512,15.6,AMD
Dell Alienware x17 R1 (D569936WIN9)...,297000,32,0,17.3,Intel
Dell Inspiron 15 3520 (D560868WIN9S...,67125,16,512,15.6,Intel
HP 15s-fq2670TU (6N043PA) Laptop (C...,35699,8,256,15.6,Intel
Acer Swift Go SFG14-41 (NX.KG3SI.00...,70999,8,512,14.0,AMD
Asus Vivobook K15 OLED K513EA-L302W...,42990,8,256,15.6,Intel
Dell Inspiron 15 3520 (D560924WIN9G...,50990,8,512,15.6,Intel
Dell Inspiron 15 3520 (D560920WIN9G...,39990,8,512,15.6,Intel
Infinix INBook X2 Plus XL25 Laptop ...,54990,8,512,15.6,Intel
Asus VivoBook 15 OLED X1505ZA-L1311...,47960,8,512,15.6,Intel
Infinix INBook X2 Plus XL25 Laptop ...,30999,8,256,15.6,Intel
Infinix INBook X2 Plus XL25 Laptop ...,46999,16,512,15.6,Intel
Asus Zenbook 17 Fold OLED Intel Evo...,362990,16,0,17.3,Intel
Dell G15-5520 (D560897WIN9S) Laptop...,180000,16,0,15.6,Intel
Dell Inspiron 13 5320 (D560754WIN9S...,91690,16,512,13.3,Intel
Dell Inspiron 16 7620 (D560906WIN9S...,98991,16,512,16.0,Intel
Dell Inspiron 14 7420 (D560776WIN9S...,88590,16,512,14.0,Intel
Dell G15-5525 (D560894WIN9S) Laptop...,96999,16,512,15.6,AMD
Dell Inspiron 14 7420 (D560918WIN9S...,82990,8,512,14.0,Intel
Dell G15-5525 (D560896WIN9S) Laptop...,84990,16,0,15.6,AMD
Dell Inspiron 15 3525 (D560788WIN9B...,64694,8,512,15.6,AMD
Dell Vostro 3425 (D552306WIN9BE) La...,39253,8,512,14.0,AMD
Dell Vostro 5625 (D552295WIN9S) Lap...,63331,8,512,16.0,AMD
Dell Inspiron 15 3511 (D560647WIN9S...,41500,8,0,15.6,Intel
Dell G15-5525 (D560898WIN9S) Laptop...,132876,16,0,15.6,AMD
Gigabyte G5 GD-51IN123SE (RC45GD) L...,49999,16,512,15.6,Intel
Gigabyte G5 MD-51IN123SE (RC45MD) L...,76990,16,512,15.6,Intel
Gigabyte G5 KD-52IN123SE (RC45KD) L...,89990,16,512,15.6,Intel
Dell Inspiron 15 3521 (D560757WIN9S...,36990,8,256,15.6,Intel
Lenovo V15 (82KDA00XIH) Laptop (AMD...,46190,8,512,15.6,AMD
Dell Inspiron 15 3520 (D560896WIN9B...,36990,8,512,15.6,Intel
Dell Inspiron 15 3520 (D560900WIN9B...,59990,8,0,15.6,Intel
Asus Vivobook 16X M1603QA-MB712WS L...,69490,16,512,16.0,AMD
Dell Inspiron 15 3520 (D560866WIN9S...,47700,8,512,15.6,Intel
Dell Inspiron 15 3520 (D560880WIN9S...,70426,8,512,15.6,Intel
Fujitsu UH-X 4ZR1K06212 Laptop (Cor...,79990,16,512,13.3,Intel
Lenovo Legion 5i Pro Gen 7 (82RF00D...,164990,16,0,16.0,Intel
Dell XPS 13 9315 (D560077WIN9S) Lap...,165462,16,0,13.0,Intel
Dell XPS 13 9315 (D560076WIN9S) Lap...,129999,16,512,13.0,Intel
Dell Vostro 5625 (D552265WIN9S) Lap...,76000,16,512,16.0,AMD
Lenovo V15 IGL (82C3A00DIH) Laptop ...,23900,4,256,15.6,Intel
Dell XPS 13 9315 (ICC-C786507WIN8) ...,121299,16,512,13.4,Intel
Asus TUF Gaming F15 FA507RE-HN043WS...,115990,16,0,15.6,AMD
Dell Inspiron 15 3520 (D560879WIN9S...,51999,16,512,15.6,Intel
Asus TUF Gaming A15 FA506QM-HN008W ...,72990,16,512,15.6,AMD
Dell Inspiron 13 5320 (D560853WIN9S...,64999,16,512,13.3,Intel
Asus VivoBook 14 X1402ZA-MW511WS La...,61999,16,512,14.0,Intel
Asus VivoBook 14 X1402ZA-EK391WS La...,54990,8,256,14.0,Intel
Asus VivoBook 14 X1402ZA-EK521WS La...,70990,8,512,14.0,Intel
Asus VivoBook 14 X1402ZA-MW512WS La...,61999,16,512,14.0,Intel
Lenovo V14 (82KA00LKIH) Laptop (Cor...,41980,8,256,14.0,Intel
Dell Vostro 3401 (D552224WIN9D) Lap...,43325,8,512,14.0,Intel
MSI GF63 Thin 12HW-004IN Laptop (Co...,59990,8,512,15.6,Intel
Dell Vostro 5620 (D552269WIN9S) Lap...,75990,16,512,16.0,Intel
Dell G15-5520 (D560895WIN9S) Laptop...,86650,16,512,15.6,Intel
Acer Nitro 5 AN515-45 (NH.QCLSI.004...,54500,8,512,15.6,AMD
MSI Crosshair 15 B12UGZ-1012IN Lapt...,154391,16,0,15.6,Intel
MSI Crosshair 15 B12UEZ-897IN Lapto...,115990,16,512,15.6,Intel
Lenovo Legion 5 Pro 16IAH7H (82RF00...,279890,32,0,16.0,Intel
Asus ROG Flow X16 GV601RM-M6055WS L...,149990,16,0,16.0,AMD
Asus ROG Flow X16 GV601RM-M5053WS L...,207990,16,0,16.0,AMD
MSI GF63 Thin 11SC-1046IN Laptop (C...,45999,8,512,15.6,Intel
MSI Alpha 15 B5EEK-235IN Laptop (AM...,84990,8,512,15.6,AMD
MSI Pulse GL66 12UEK-898IN Laptop (...,100999,16,0,15.6,Intel
MSI CreatorPro M16 A12UIS-634IN Lap...,86700,16,0,16.0,Intel
MSI Creator M16 A12UD-633IN Laptop ...,83500,16,512,16.0,Intel
Asus ROG Flow X16 GV601RM-M5039WS L...,211990,16,0,16.0,AMD
MSI Vector GP76 12UGSO-868IN Laptop...,144711,16,0,17.3,Intel
Asus VivoBook 14 X415JA-BV302WS Lap...,23990,8,0,14.0,Intel
Lenovo Thinkpad E14 (21E3S04W00) La...,74700,16,512,14.0,Intel
Lenovo Thinkpad E14 Gen 4 (21E3S05B...,86500,16,512,14.0,Intel
Lenovo Thinkpad E14 (21E3S04X00) La...,69099,8,512,14.0,Intel
Lenovo Thinkpad E14 Gen 4 (21E3S04U...,78000,16,0,14.0,Intel
Lenovo Thinkpad E14 (21E3S05800) La...,91000,16,0,14.0,Intel
Asus TUF Gaming F15 FX506LHB-HN358W...,56040,8,512,15.6,Intel
Lenovo Ideapad Gaming 3 (82SA00B2IN...,96990,16,512,16.0,Intel
Asus VivoBook 14 X1402ZA-EK522WS La...,48990,8,512,14.0,Intel
Asus VivoBook 14 X1402ZA-MW311WS La...,35990,8,512,14.0,Intel
Acer Aspire 3 A314-35 Laptop (Intel...,34780,8,256,14.0,Intel
Asus VivoBook 15 X515JA-BQ521WS Lap...,41990,8,512,15.6,Intel
HP Chromebook 15a-na0012TU (743A1PA...,30016,4,0,15.6,Intel
Asus VivoBook Pro 15 OLED K6500ZC-L...,89990,16,512,15.6,Intel
Asus ROG Flow X13 GV301RC-LJ073WS L...,89990,16,0,13.4,AMD
Asus ROG Flow X13 GV301RE-LJ156WS L...,115736,32,0,13.4,AMD
Asus VivoBook 15 X515JA-EJ312WS Lap...,24990,8,256,15.6,Intel
Lenovo V15 (82KDA01DIH) Laptop (AMD...,37265,8,256,15.6,AMD
Asus VivoBook Pro 15 OLED K6500ZE-L...,96500,16,512,15.6,Intel
Lenovo Legion 5 15ACH6H (82JU018YIN...,95490,16,512,15.6,AMD
Asus VivoBook 15 X1502ZA-EZ511WS La...,68499,16,512,15.6,Intel
Lenovo V14 (82KA00G8IH) Laptop (Cor...,35590,8,256,14.0,Intel
Asus ProArt Studiobook Pro 16 OLED ...,161991,32,0,16.0,Intel
Asus ROG Zephyrus G15 GA503RM-LN095...,126980,16,0,15.6,AMD
Asus ProArt Studiobook Pro 16 OLED ...,239990,32,0,16.0,Intel
Asus ProArt Studiobook Pro 16 OLED ...,198114,16,0,16.0,Intel
Lenovo Ideapad Gaming 3 Gen 6 (82K2...,46999,8,512,15.6,AMD
HP Omen 16-n0050AX (6H4N6PA) Laptop...,86390,16,512,16.1,AMD
HP Omen 17-ck1023TX (6H9E0PA) Lapto...,232999,32,0,17.3,Intel
HP Omen 17-ck1022TX (6J0W2PA) Lapto...,178900,32,0,17.3,Intel
HP Omen 16-n0054AX (6J390PA) Laptop...,114900,16,0,16.1,AMD
HP Omen 16-n0049AX (6H4N5PA) Laptop...,103490,16,512,16.1,AMD
Asus ROG Zephyrus G15 GA503RM-HQ030...,161990,16,0,15.6,AMD
Lenovo Ideapad Slim 5 Gen 6 (82LN00...,61500,16,512,15.6,AMD
Asus ZenBook Pro 14 Duo OLED Intel ...,139990,16,0,14.5,Intel
Dell Inspiron 15 3515 (D560702WIN9B...,30001,4,256,15.6,AMD
Asus TUF Gaming A15 FA577RM-HQ032WS...,144990,16,0,15.6,AMD
HP 14s-dy2508TU (6X360PA) Laptop (C...,37990,8,512,14.0,Intel
HP Pavilion x360 14-ek0074TU (6Q0Y9...,71990,16,512,14.0,Intel
Asus VivoBook 15 X515JA-EJ382WS Lap...,28330,8,512,15.6,Intel
Asus ZenBook Pro 14 Duo OLED Intel ...,158812,16,0,14.5,Intel
Asus ZenBook Pro 14 Duo OLED Intel ...,163716,32,0,14.5,Intel
Asus ZenBook Pro 14 Duo OLED UX8402...,99980,16,512,14.5,Intel
Dell Inspiron 15 3511 (D560842WIN9B...,37990,8,512,15.6,Intel
Dell Inspiron 15 3525 (D560831WIN9S...,36690,8,256,15.6,AMD
Lenovo Ideapad Slim 3 15IIL05 (81WE...,27999,4,256,15.6,Intel
Asus TUF Gaming F15 FX506LHB-HN374W...,76900,16,512,15.6,Intel
Asus TUF Dash F15 FX517ZC-HN109WS L...,94249,8,0,15.6,Intel
Lenovo Ideapad Slim 3 (81X800LCIN) ...,35499,8,256,15.6,Intel
Asus VivoBook 14 X415EA-EK322WS Lap...,33990,8,512,14.0,Intel
MSI Modern 14 B5M-242IN Laptop (AMD...,55999,8,512,14.0,AMD
Asus VivoBook Pro 15 OLED K6500ZC-L...,84780,16,512,15.6,Intel
Asus VivoBook Pro 15 M6500IH-HN702W...,66990,16,512,15.6,AMD
Lenovo Ideapad Gaming 3 (82K2012LIN...,69990,8,512,15.6,AMD
Asus VivoBook Pro 15 OLED M6500IH-L...,71990,16,512,15.6,AMD
Asus VivoBook Ultra 14 K413EA-EB303...,32356,8,512,14.0,Intel
Asus VivoBook Ultra 14 K413EA-EB302...,31990,8,512,14.0,Intel
Dell Vostro 5620 (D552268WIN9S) Lap...,74990,8,512,16.0,Intel
Asus VivoBook Ultra 14 K413EA-EB301...,40990,8,512,14.0,Intel
Dell G15-5515 (D560542WIN9W) Laptop...,77990,8,512,15.6,AMD
Asus VivoBook Gaming F571LH-AL434T ...,68890,16,0,15.6,Intel
HP Chromebook 14a-na1004TU Laptop (...,21591,4,0,14.0,Intel
MSI Katana GF66 12UC-636IN Laptop (...,70989,8,512,15.6,Intel
Asus VivoBook 15 X515EA-EJ522WS Lap...,39800,8,512,15.6,Intel
Lenovo IdeaPad Flex 5 Gen 7 (82R900...,69500,16,512,14.0,AMD
Asus TUF Dash F15 FX517ZC-HN108WS L...,96990,16,0,15.6,Intel
HP Victus 15-fb0050AX (6F9V1PA) Lap...,57999,8,512,15.6,AMD
HP Victus 15-fa0351TX (6N029PA) Lap...,103483,8,512,15.6,Intel
Asus ROG Zephyrus G15 GA503RM-HQ057...,128000,16,0,15.6,AMD
Asus TUF Gaming F15 FX506HC-HN119W ...,66990,8,0,15.6,Intel
Asus ROG Zephyrus M16 GU603ZM-K8034...,159990,16,512,16.0,Intel
Asus ROG Strix Scar 15 G533ZXZ-LN11...,166220,32,0,15.6,Intel
Lenovo Ideapad Slim 3i (81X800LAIN)...,34500,8,512,15.6,Intel
HP Pavilion x360 14-dy0212TU (6N0L9...,42990,8,256,14.0,Intel
Asus Zenbook Flip 14 OLED UP5401ZA-...,105441,16,0,14.0,Intel
HP 14s-dq3037TU (681Y5PA) Laptop (I...,23999,8,256,14.0,Intel
HP 15s-ey1508AU (6Q0N0PA) Laptop (A...,29990,8,256,15.6,AMD
Asus Vivobook S14 Flip TN3402QA-LZ5...,64990,16,512,14.0,AMD
Asus VivoBook 15 X712EA-AU511WS Lap...,53990,16,0,17.3,Intel
Dell Vostro 3425 (D552305WIN9BE) La...,34700,8,256,14.0,AMD
Asus VivoBook 15 X1502ZA-EZ311WS La...,36382,8,512,15.6,Intel
Asus Vivobook K15 OLED KM513UA-L511...,49990,16,512,15.6,AMD
HP 15s-eq1561AU (6Q0M9PA) Laptop (A...,26900,8,256,15.6,AMD
Acer Aspire 3 A314-22 (NX.HVVSI.007...,18999,4,0,14.0,AMD
Asus VivoBook 14 X1402ZA-EB312WS La...,47990,8,512,14.0,Intel
Asus ROG Flow X16 GV601RW-M5045WS L...,261990,32,0,16.0,AMD
HP 14s-dy2507TU (6N024PA) Laptop (C...,35990,8,256,14.0,Intel
Asus VivoBook Pro 15 OLED M3500QC-L...,117635,16,0,15.6,AMD
Asus TUF Gaming A17 FA706IHR-HX031W...,61990,8,512,17.3,AMD
Dell Vostro 5625 (D552238WIN9S) Lap...,77966,16,512,16.0,AMD
HP 15s-fq5112TU (6Q2M3PA) Laptop (C...,48740,16,512,15.6,Intel
HP Pavilion Plus 14-eh0025TU (6H2F4...,73990,16,512,14.0,Intel
Lenovo Ideapad Gaming 3 15IHU6 (82K...,71990,8,0,15.6,Intel
Asus VivoBook 15 X1500EA-EJ322WS La...,31349,8,512,15.6,Intel
HP Pavilion Plus 14-eh0021TU (6H1Q2...,89264,16,512,14.0,Intel
HP 255 G8 (689T4PA) Laptop (AMD Dua...,26890,8,512,15.6,AMD
HP 245 G8 (365R8PA) Laptop (AMD Qua...,39990,8,0,14.0,AMD
Asus TUF Gaming A17 FA706ICB-HX061W...,76990,8,512,17.3,AMD
Asus ROG Zephyrus G14 GA402RK-L8148...,154990,32,0,14.0,AMD
Asus ROG Flow X13 GV301RE-LJ199WS L...,110862,32,0,13.4,AMD
Lenovo Ideapad Slim 5 (82SF008YIN) ...,54250,16,512,15.6,Intel
Lenovo Ideapad Flex 5i Gen 7 (82R70...,64490,16,512,14.0,Intel
Lenovo Yoga Slim 7i Pro 14IHU5 (82N...,59900,16,512,14.0,Intel
Lenovo Yoga Slim 7i Pro Intel Evo (...,99990,16,512,14.0,Intel
Lenovo Yoga 7i Gen 7 Intel Evo (82Q...,119988,16,512,14.0,Intel
Lenovo Ideapad Slim 1 15ADA7 (82R10...,30990,8,512,15.6,AMD
Lenovo Ideapad Slim 3 (82RK00EDIN) ...,47590,8,512,15.6,Intel
Lenovo Yoga 9i Gen 7 Intel Evo (82L...,136999,16,0,14.0,Intel
Lenovo Yoga 6 Gen 7 (82UD0068IN) La...,71990,16,512,13.3,AMD
Lenovo Legion 5i Gen 7 (82RB00K8IN)...,126305,16,512,15.6,Intel
Lenovo Ideapad Slim 3i (82RJ0040IN)...,35990,8,512,14.0,Intel
Lenovo Ideapad Flex 5i (82R70068IN)...,73990,8,512,14.0,Intel
Lenovo Ideapad Slim 3i Gen 7 (82RK0...,33900,8,512,15.6,Intel
Lenovo Ideapad 3 15IAU7 (82RK00EEIN...,34990,8,512,15.6,Intel
Lenovo Legion 5 Pro (82RG00AGIN) La...,125190,32,0,16.0,AMD
Lenovo Ideapad Slim 5 14ABA7 (82SE0...,64999,16,512,14.0,AMD
Asus ROG Flow X13 GV301RA-LJ031WS L...,121990,16,0,13.4,AMD
Asus ROG Zephyrus G15 GA503RM-HQ111...,92990,16,0,15.6,AMD
Lenovo IdeaPad Flex 5 14ALC7 (82R90...,64990,16,512,14.0,AMD
Lenovo Ideapad Slim 5i (82SF004WIN)...,64340,16,512,15.6,Intel
Asus ROG Flow X13 GV301RA-LI030WS L...,214903,16,0,13.4,AMD
Asus ROG Zephyrus Duo 16 GX650RXZ-L...,396990,32,0,16.0,AMD
Asus VivoBook Flip 14 TP3402ZA-LZ51...,79990,16,512,14.0,Intel
Asus Zenbook Flip 14 OLED UP5401ZA-...,74990,16,512,14.0,Intel
Asus ROG Zephyrus Duo 16 GX650RM-LS...,161187,32,0,16.0,AMD
Asus ROG Zephyrus Duo 16 GX650RMZ-L...,239999,32,0,16.0,AMD
Asus ROG Zephyrus G15 GA503RW-LN066...,137032,16,0,15.6,AMD
Asus ROG Zephyrus Duo 16 GX650RXZ-L...,361990,32,0,16.0,AMD
Asus ROG Zephyrus Duo 16 GX650RXZ-L...,268990,32,0,16.0,AMD
Asus ROG Zephyrus G15 GA503RS-HQ027...,189990,16,0,15.6,AMD
Asus ROG Zephyrus G15 GA503RM-LN143...,94990,16,0,15.6,AMD
Asus ROG Zephyrus G15 GA503RM-HQ142...,111869,16,0,15.6,AMD
HP Pavilion x360 14-ek0078TU (6Q0Z1...,81990,16,512,14.0,Intel
